Term,Label,Description,ParentTerm,RelatedTerms,Relation,Comment,Source
CharityOrganisation,Charity Organisation,An organization that supports a cause by fundraising or through donations and charity,dpv:LegalEntity,,,,
DataReuseCompetentBody,Data Reuse Competent Body,An entity designated by a public sector body to provide legal and technical support on the access and reuse of public sector data,dpv:LegalEntity,,,,DGA 7
DataAltruismOrganisation,Data Altruism Organisation,An non-profit organisation whom collects and shares data for altruistic purposes,dpv:NonProfitOrganisation,,,,"DGA 2.16, 18"
DataCooperative,Data Cooperative,"An entity constituted by data subjects, one-person undertakings or SMEs who provides data intermediation services and supports its members in the exercise of their data-related rights",DataIntermediationServiceProvider,,,,"DGA 2.15, 10.c"
DataHolder,Data Holder,An entity who has the right to grant access to or to share certain personal data or non-personal data,dpv:LegalEntity,,,,DGA 2.8
DataIntermediationAuthority,Data Intermediation Authority,An authority tasked with overseeing the activity of data intermediation service providers and maintaining a public register of said entities,dpv:Authority,,,,DGA 13
DataIntermediationServiceProvider,Data Intermediation Service Provider,An entity who establishes commercial relationships for the data sharing between data subjects and data holders on the one hand and data users on the other,dpv:LegalEntity,,,,DGA 2.11
DataIntermediationServiceProviderForDataHolder,Data Intermediation Service Provider for Data Holder,"An entity who makes data holders' data available for potential data users, including bilateral or multilateral exchanges of data and platforms and databases for the joint exploitation of data",DataIntermediationServiceProvider,,,,DGA 10.a
DataIntermediationServiceProviderForDataSubject,Data Intermediation Service Provider for Data Subject,An entity who makes data subjects' personal data available for potential data users,DataIntermediationServiceProvider,,,,DGA 10.b
DataUser,Data User,An entity who has access an the right to use personal or non-personal data for commercial or non-commercial purposes,dpv:LegalEntity,,,,DGA 2.9
EuropeanDataInnovationBoard,European Data Innovation Board,An authority tasked with overseeing the activities of data intermediation service providers and data altruism organisations,dpv:SupraNationalAuthority,,,,DGA 29
PrivateSectorBody,Private Sector Body,Private Sector Body,dpv:LegalEntity,,,,
PublicSectorBody,Public Sector Body,"An entity or association of entities governed by public law formed by one or more State, regional or local authorities",dpv:LegalEntity,,,,DGA 2.17
SingleInformationPointProvider,Single Information Point Provider,An entity who is responsible for receiving and transmiting requests for the re-use of public data,dpv:LegalEntity,,,,DGA 8
EUSingleInformationPointProvider,EU Single Information Point Provider,An entity who is responsible for receiving and transmiting requests for the re-use of public data in the EU,SingleInformationPointProvider,,,,DGA 8.4
LocalSingleInformationPointProvider,Local Single Information Point Provider,A local entity who is responsible for receiving and transmiting requests for the re-use of public data,SingleInformationPointProvider,,,,
NationalSingleInformationPointProvider,National Single Information Point Provider,A national entity who is responsible for receiving and transmiting requests for the re-use of public data,SingleInformationPointProvider,,,,
